sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
,,G11-214n Town Entry Welcome Sign (Example Only),,,,,,,,,,,g11-214n-town-entry-welcome-sign-example-only
GE4-1,Motorway Reassurance Direction Sign (Example Only),GE4-1 - Reassurance Direction Sign (Example Only),Yes Delegated to council for authorisation No This sign is a 'prescribed traffic control device' it is NOT delegated/authorised to council to install. This sign can only be authorised by direct Transport for NSW written approval.,,NA,AS1742.15 (Direction Signs),,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge4-1.gif?itok=xzjVvqQf,,,ge4-1-reassurance-direction-sign-example-only
GE9-200n,Emergency Stopping Bay Only (left/right) (Superseded Use R5-85-1n C Size),GE9-200n Emergency Stopping Bay Only (left/right) (Superseded Use R5-85-1n C Size),No,Unavailable,NA,Project Specific,,-,,,,,ge9-200n-emergency-stopping-bay-only-leftright
GE7-206n,Emergency Phone (Superseded Use G7-13 Help Phone),GE7-206n - Emergency Phone (Superseded Use G7-13 Help Phone),No,Unavailable,-,-,,SUPERSEDED USE G7-13 HELP PHONE,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge7-206.gif?itok=jjCqjgL1,,,ge7-206n-emergency-phone-superseded-use-g7-13-help
GE9-20,No Stopping or Turning (Superceded - Use G9-70),GE9-20 No Stopping or Turning (Superceded - Use G9-70),No,Unavailable,NA,-,,-,No design plan.,,,,ge9-20-no-stopping-or-turning-superceded-use-g9-70
w3-3 (Superseded Use W3-3-1),Signals Ahead (Symbolic),W3-3 Signals Ahead (Superseded Use W3-3-1),-,Unavailable,NA,-,- Secondary Technical References - Sign Design Size A B C D Height - - - - Width - - - -,-,,,,,w3-3-signals-ahead-superseded-use-w3-3-1
GE7-6,Emergency Phone (Superseded Use G7-13 Help Phone),GE7-6 - Emergency Phone (Superseded Use G7-13 Help Phone),No,Unavailable,-,-,,SUPERSEDED USE G7-13 HELP PHONE,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge7-6.gif?itok=gKPq80q4,,,ge7-6-emergency-phone-superseded-use-g7-13-help-phone
W5-227n,Deer (symbolic) Superseded Use W5-51,W5-227n - Deer (symbolic) Superseded Use W5-51,-,Unavailable,-,-,,-,,,,,w5-227n-deer-symbolic-superseded-use-w5-51
W5-223n,Wildlife Ahead (Superseded Use W5-56n),W5-223n - Wildlife Ahead Superseded Use W5-56n,-,Unavailable,-,-,,-,,,,,w5-223n-wildlife-ahead-superseded-use-w5-56n
W5-230n(R),Hazardous Motorcycle Curve (Right) Superseded Use W5-54,W5-230n(R) Hazardous Motorcycle Curve (Right) Superseded Use W5-54,-,Unavailable,-,-,,-,,,,,w5-230nr-hazardous-motorcycle-curve-right-superseded
W5-230n(L),Hazardous Motorcycle Curve (Left Symbolic) Superseded Use W5-54,W5-230n(L) Hazardous Motorcycle Curve (Left) Superseded Use W5-54,-,Unavailable,-,-,,-,,,,,w5-230nl-hazardous-motorcycle-curve-left-superseded
W5-243n,Horse and Rider (Symbolic) Superseded Use W5-53,W5-243n - Horse and Rider (Symbolic) Superseded Use W5-53,-,Unavailable,-,-,,-,,,,,w5-243n-horse-and-rider-symbolic-superseded-use-w5-53
W5-24,Merging Traffic (Superseded Use W5-34 LorR),W5-24 - Merging Traffic (Superseded Use W5-34 L or R),-,Unavailable,-,-,,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/w5-24.gif?itok=HpiegqyM,,,w5-24-merging-traffic-superseded-use-w5-34-l-or-r
W7-1,Railway Crossing (Superseded - Use R6-24),W7-1 - Railway Crossing (Superseded - Use R6-24),No,Unavailable,NA,-,,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/w7-1.gif?itok=l0kbJZwR,,,w7-1-railway-crossing-superseded-use-r6-24
R1-4n,Traffic Signal Stop,R1-4n Traffic Signal Stop,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules - Rule 63,Roads and Maritime Services Traffic Signal Design - Section 10,AUSTROADS - Guide to Traffic Management Part 10 - Traffic Control and Communication Devices,-,Traffic Signal Stop sign design plan Published 15 Jun 2023 PDF 99.54 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r1-4n.gif?itok=-GZtF-9U,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r1-4n.pdf,Original PDFs/r1-4n.pdf,r1-4n-traffic-signal-stop
R2-20,Left Turn On Red Permitted After Stopping,R2-20 Left Turn On Red Permitted After Stopping,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULE 59,AS 1742.14 (Traffic Signals),Traffic Signal Design (Roads and Maritime Services ) - Section 10 AUSTROADS - Guide to Traffic Management Part 10 - Traffic Control and Communication Devices,-,Left Turn On Red Permitted After Stopping sign design plan Published 15 Jun 2023 PDF 115.92 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-20.gif?itok=n7UZQ_p_,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r2-20.pdf,Original PDFs/r2-20.pdf,r2-20-left-turn-on-red-permitted-after-stopping
R3-5(R),Pedestrians May Cross Diagonally (Right),R3-5(R) Pedestrians May Cross Diagonally (Right),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULES 230 & 234,AS 1742.14 (TRAFFIC SIGNALS),"Traffic Signal Design (Roads & Maritime Services)- Section 10 Secondary Technical References Roads and Maritime Services Supplement Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10) AUSTROADS - Guide to Traffic Management - Traffic Control and Communication Devices (Part 10)",-,Pedestrians May Cross Diagonally (Right) sign design plan Published 15 Jun 2023 PDF 104.48 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-5_r.gif?itok=x6ZCQf7G,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-5_r.pdf,Original PDFs/r3-5_r.pdf,r3-5r-pedestrians-may-cross-diagonally-right
R3-5(L),Pedestrians May Cross Diagonally (Left),R3-5(L) Pedestrians May Cross Diagonally (Left),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULES - RULES 230 & 234,AS 1742.14 (TRAFFIC SIGNALS),"Traffic Signal Design (Roads & Maritime Services)- Section 10 Secondary Technical References Roads and Maritime Services Supplement Australian Standard - 1742, Manual of Uniform Traffic Control Devices (Part 10) AUSTROADS - Guide to Traffic Management - Traffic Control and Communication Devices (Part 10)",-,Pedestrians May Cross Diagonally (Left) sign design plan Published 15 Jun 2023 PDF 107.26 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-5_l.gif?itok=pSgRTnnl,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r3-5_l.pdf,Original PDFs/r3-5_l.pdf,r3-5l-pedestrians-may-cross-diagonally-left
R4-1-1n,Town Entry Gateway Treatment (Example Only),R4-1-1n - Town Entry Gateway Treatment (Example Only),No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,Town Entry Gateway Treatment TS 00020:1.0,,Refer to TfnSW technical document TOWN ENTRY GATEWAY TREATMENT TS 00020:1.0 for details,Town Entry Gateway Treatment (Example Only) sign design plan Published 15 Jun 2023 PDF 25.18 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-1-1n.gif?itok=-18NirvA,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-1-1n.pdf,Original PDFs/r4-1-1n.pdf,r4-1-1n-town-entry-gateway-treatment-example-only
R4-11-1n,End Speed Limit (Symbolic) 30 Area,R4-11-1n End Speed Limit (Symbolic) 30 Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,AS1742.4 (Speed Controls),,30km/hr speed limits to be used in high volume pedestrian areas only.,End Speed Limit (Symbolic) 30 Area sign design plan Published 15 Jun 2023 PDF 101.15 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-11-1n.gif?itok=OyZ7SC78,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-11-1n.pdf,Original PDFs/r4-11-1n.pdf,r4-11-1n-end-speed-limit-symbolic-30-area
R4-11,End Speed Limit (symbolic) 40 Area,R4-11 End Speed Limit (symbolic) 40 Area,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,-,AS1742.4 (SPPED CONTROLS),,40 km/h speed limits in high volume pedestrian areas. RMS internal working document. To be used only in high pedestrian areas.,End Speed Limit (symbolic) 40 Area sign design plan Published 15 Jun 2023 PDF 100.89 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-11.gif?itok=O6BVKOBI,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-11.pdf,Original PDFs/r4-11.pdf,r4-11-end-speed-limit-symbolic-40-area
R4-230-1-1n,School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30,R4-230-1-1n - School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 23,AS1742.4 (Speed Control,"NSW SPEED ZONING GUIDELINES Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/SR02 - Dragon's teeth at School Zones","For non-standard school times use R4-235-1-1n. Approval from NSW Centre for Road Safety is required LIGHTS: Flash light aperture: Yellow when light is on, dark when light off. Sun visor may be provided. Annulus is to emit a red flashing light on the inner half of the annulus",School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) 30 sign design plan Published 15 Jun 2023 PDF 204.42 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-230-1-1n.gif?itok=y1n5WOtL,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-230-1-1n.pdf,Original PDFs/r4-230-1-1n.pdf,r4-230-1-1n-school-zone-8-930am-230-4pm-school-days
R4-229n,Speed Limit (variable) Truck & Bus Speed Limit,R4-229n - Speed Limit (variable) Truck & Bus Speed Limit,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 21,AS 7142.4 (Speed Control),NSW SPEED ZONING GUIDELINES,"Numerals restricted to 20,40, 60 and 80",Speed Limit (variable) Truck & Bus Speed Limit sign design plan Published 15 Jun 2023 PDF 119.18 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-229n.gif?itok=r2u3Sify,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-229n.pdf,Original PDFs/r4-229n.pdf,r4-229n-speed-limit-variable-truck-bus-speed-limit
R4-220n,End Truck & Bus Speed Limit,R4-220n - End Truck & Bus Speed Limit,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 21,AS 1742.4 (Speed Controls),NSW Speed Zoning Guidelines,"Numerals restricted to 20,40, 60 and 80",End Truck & Bus Speed Limit sign design plan Published 15 Jun 2023 PDF 130.83 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-220n.gif?itok=6KUR6F0u,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-220n.pdf,Original PDFs/r4-220n.pdf,r4-220n-end-truck-bus-speed-limit
R4-12,End Speed Limit (symbolic),R4-12 End Speed Limit (symbolic),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 21,AS1742.3 (Traffic Control for Works on Roads) AS1742.4 (Speed Controls) NSW Speed Zoning Guidelines,,For details please refer to AS 1743.,End Speed Limit (symbolic) - r4-12 sign design plan Published 15 Jun 2023 PDF 141.16 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-12.gif?itok=v8k29QDj,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-12.pdf,Original PDFs/r4-12.pdf,r4-12-end-speed-limit-symbolic
R4-205n,State Limit 100,R4-205n - State Limit 100,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 21,AS1742.4 (Speed Controls),NSW Speed Zoning guidelines,-,State Limit 100 sign design plan Published 15 Jun 2023 PDF 111.17 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-205n.gif?itok=zib03G4y,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-205n.pdf,Original PDFs/r4-205n.pdf,r4-205n-state-limit-100
R4-230-1n,School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights),R4-230-1n - School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights),No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 23,AS1742.4 (Speed Control),"NSW SPEED ZONING GUIDELINES Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/SR02 - Dragon's teeth at School Zones","For non-standard school times use R4-235-1n. Approval from NSW Centre for Road Safety is required LIGHTS: Flash light aperture: Yellow when light is on, dark when light off. Sun visor may be provided. Annulus is to emit a red flashing light on the inner half of the annulus.",School Zone (8-9:30am 2:30-4pm) School Days (with flashing lights) - r4-230-1n sign design plan Published 15 Jun 2023 PDF 204.1 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-230-1n.gif?itok=MFnoFWSp,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-230-1n.pdf,Original PDFs/r4-230-1n.pdf,r4-230-1n-school-zone-8-930am-230-4pm-school-days
R4-235-1-1n,School Zone (times) School Days (with flashing Lights) 30,R4-235-1-1n - School Zone (times) School Days (with flashing Lights) 30,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 23,AS1742.4 (Speed Control),NSW Speed Zoning Guidelines,"Approval from NSW Centre for Road Safety is required for use of non-standard school times. LIGHTS: Flash light aperture: Yellow when light is on, dark when light off. Sun visor may be provided. Annulus is to emit a red flashing light on the inner half of the annulus",School Zone (times) School Days (with flashing Lights) 30 sign design plan Published 15 Jun 2023 PDF 159.27 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-235-1-1n.gif?itok=zCV34x2w,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-235-1-1n.pdf,Original PDFs/r4-235-1-1n.pdf,r4-235-1-1n-school-zone-times-school-days-flashing
R4-230-1-2n,School Zone (8-9:30am 2:30-4pm) School Days 30,R4-230-1-2n - School Zone (8-9:30am 2:30-4pm) School Days 30,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 23,AS1742.4 (Speed Control),"Delineation (Roads and Maritime Services ), Section 9 TD 2009/SR02 - Dragons Teeth at School Zones",For non-standard school times use R4-235-1-2n. Approval from NSW Centre for Road Safety is required,School Zone (8-9:30am 2:30-4pm) School Days 30 sign design plan Published 15 Jun 2023 PDF 430.02 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-230-1-2n.gif?itok=Qwd6Ztfm,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-230-1-2n.pdf,Original PDFs/r4-230-1-2n.pdf,r4-230-1-2n-school-zone-8-930am-230-4pm-school-days-30
R4-230n,School Zone (8-9:30am 2:30-4pm) School Days,R4-230n School Zone (8-9:30am 2:30-4pm) School Days,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 23,AS1742.4 (Speed Control),"NSW SPEED ZONING GUIDELINES Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/SR02 - Dragons Teeth at School Zones",For non-standard school times use R4-235n. Approval from NSW Centre for Road Safety is required,School Zone (8-9:30am 2:30-4pm) School Days - r4-230n sign design plan Published 15 Jun 2023 PDF 154 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-230n.gif?itok=YEFiCWdT,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-230n.pdf,Original PDFs/r4-230n.pdf,r4-230n-school-zone-8-930am-230-4pm-school-days
R4-231n,End School Zone,R4-231n End School Zone,No Delegated to council for authorisation No This sign is a 'prescribed traffic control device' it is NOT delegated/authorised to council to install. This sign can only be authorised by direct Transport for NSW written approval.,,NSW ROAD RULE 23,AS 1742.4 (Speed Control),NSW Speed Zoning Guidelines,Numerals for non-school time speed limit to be stated,End School Zone - r4-231n sign design plan Published 15 Jun 2023 PDF 114.94 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-231n.gif?itok=2JkHhuJ3,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-231n.pdf,Original PDFs/r4-231n.pdf,r4-231n-end-school-zone
R4-235-1n,School Zone (times) School Days (with flashing lights),R4-235-1n - School Zone (times) School Days (with flashing lights),Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 23,AS 1742.4 (Speed Control),NSW Speed Zoning Guidelines,"Approval from NSW Centre for Road Safety is required for use of non-standard school times. LIGHTS: Flash light aperture: Yellow when light is on, dark when light off. Sun visor may be provided. Annulus is to emit a red flashing light on the inner half of the annulus",School Zone (times) School Days (with flashing lights) - r4-235-1n sign design plan Published 15 Jun 2023 PDF 158.97 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-235-1n.gif?itok=FuEC26Ay,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-235-1n.pdf,Original PDFs/r4-235-1n.pdf,r4-235-1n-school-zone-times-school-days-flashing
R4-235-1-2n,School Zone (times) School Days 30,R4-235-1-2n - School Zone (times) School Days 30,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 23,AS 1742.4 (Speed Controls),"NSW Speed Zoning Guidelines Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/ SR02 - Dragons Teeth at School Zone",For standard school times use R4-230-1-2n. Approval from NSW Centre for Road Safety is required for use of non-standard school times,School Zone (times) School Days 30 sign design plan Published 15 Jun 2023 PDF 147.58 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-235-1-2n.gif?itok=5o1x4z-7,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-235-1-2n.pdf,Original PDFs/r4-235-1-2n.pdf,r4-235-1-2n-school-zone-times-school-days-30
R4-236-1n,High Pedestrian Activity 30 Area,R4-236-1n - High Pedestrian Activity 30 Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 22,AS1742.4 Speed Controls,NSW Speed Zoning Guidelines,-,High Pedestrian Activity 30 Area sign design plan Published 15 Jun 2023 PDF 155.36 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-236-1n.gif?itok=IjoEZRlU,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-236-1n.pdf,Original PDFs/r4-236-1n.pdf,r4-236-1n-high-pedestrian-activity-30-area
R4-236-2n,High Pedestrian Activity 40 Area,R4-236-2n - High Pedestrian Activity 40 Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 22,AS1742.4 Speed Controls,NSW Speed Zoning Guidelines,-,R4-236-2n Published 27 Oct 2023 PDF 101.9 KB,,,,r4-236-2n-high-pedestrian-activity-40-area
R4-236n,High Pedestrian Activity 40 Area,R4-236n - High Pedestrian Activity 40 Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 22,AS1742.4 (SPEED CONTROLS),"NSW SPEED ZONING GUIDELINES Secondary Technical References RMS Publication- 40km/h Speed Limits in High Volume Pedestrian Areas(Feb/05)"" Sign Design "" Image Collapse the Image High Pedestrian Activity 40 Area - r4-236n Image controls: Enlarge the Image Size A B Height 675 900 Width 900 1200",-,High Pedestrian Activity 40 Area sign design plan Published 15 Jun 2023 PDF 155.26 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-236n.gif?itok=PxUD1X7E,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-236n.pdf,Original PDFs/r4-236n.pdf,r4-236n-high-pedestrian-activity-40-area
R4-235n,School Zone (times) School Days,R4-235n - School Zone (times) School Days,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 23,AS 1742.4 (Speed Controls),"NSW Speed Zoning Guidelines Secondary Technical References Delineation (Roads and Maritime Services ), Section 9 TD 2009/ SR02 - Dragons Teeth at School Zones",For standard school times use R4-230n. Approval from NSW Centre for Road Safety is required for use of non-standard school times.,School Zone (times) School Days - r4-235n sign design plan Published 15 Jun 2023 PDF 147.36 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-235n.gif?itok=xWEf8_43,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-235n.pdf,Original PDFs/r4-235n.pdf,r4-235n-school-zone-times-school-days
R4-237-1n,High Pedestrian Activity 30,R4-237-1n - High Pedestrian Activity 30,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 22,AS1742.4 (SPEED CONTROLS),NSW SPEED ZONING GUIDELINES,-,High Pedestrian Activity 30 - r4-237-1n sign design plan Published 15 Jun 2023 PDF 254.05 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-237-1n.gif?itok=f4eB9GWL,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-237-1n.pdf,Original PDFs/r4-237-1n.pdf,r4-237-1n-high-pedestrian-activity-30
G9-349n,Trucks Over ___t Gvm & Buses Divert To Heavy Vehicle Checking Station,G9-349n - Trucks Over ___t Gvm & Buses Divert To Heavy Vehicle Checking Station,No,Specific circumstances only. Contact Transport for NSW.,NA,Project specific - See Guidance & Delineation Unit TfNSW for sign detail,,-,No design plan.,,,,g9-349n-trucks-over-t-gvm-buses-divert-to-heavy
R4-246n,(Speed Zone) Trucks And Buses (Speed Zone) All Other Vehicles,R4-246n (Speed Zone) Trucks And Buses (Speed Zone) All Other Vehicles,Yes,No – restricted. Any use requires written authorisation from Transport for NSW.,-,-,,Cl.400 Red annulus,(Speed Zone) Trucks And Buses (Speed Zone) All Other Vehicles sign design plan Published 15 Jun 2023 PDF 156.06 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-246.gif?itok=_j_5D9QE,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-246.pdf,Original PDFs/r4-246.pdf,r4-246n-speed-zone-trucks-and-buses-speed-zone-all
R4-238n,Speed Restriction (Symbolic) - When Raining Here,R4-238n - Speed Restriction (Symbolic) - When Raining Here,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,AS 1742.4 Speed Controls,NSW Speed Zoning Guidelines,-,Speed Restriction (Symbolic) - When Raining Here sign design plan Published 15 Jun 2023 PDF 165.98 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-238n.gif?itok=K9mFoZ0e,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-238n.pdf,Original PDFs/r4-238n.pdf,r4-238n-speed-restriction-symbolic-when-raining-here
R4-239n,Speed Restriction (Symbolic) - Unless Raining,R4-239n - Speed Restriction (Symbolic) - Unless Raining,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NA,AS1742.4 Speed Controls,NSW Speed Zoning Guidelines,-,Speed Restriction (Symbolic) - Unless Raining sign design plan Published 15 Jun 2023 PDF 118.55 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-239n.gif?itok=L5t-bU0O,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-239n.pdf,Original PDFs/r4-239n.pdf,r4-239n-speed-restriction-symbolic-unless-raining
R4-237-2n,High Pedestrian Activity 40,R4-237-2n - High Pedestrian Activity 40,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rule 22,AS1742.4 Speed Controls,NSW Speed Zoning Guidelines,-,R4-237-2n Published 27 Oct 2023 PDF 101.49 KB,,,,r4-237-2n-high-pedestrian-activity-40
R4-237n,High Pedestrian Activity 40,R4-237n - High Pedestrian Activity 40,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW ROAD RULE 22,AS1742.4 (SPEED CONTROLS),"NSW SPEED ZONING GUIDELINES Secondary Technical References RMS Publication- 40km/h Speed Limits in High Volume Pedestrian Areas(Feb/05)"" Sign Design "" Image Collapse the Image High Pedestrian Activity 40 - r4-237n Image controls: Enlarge the Image Size A B Height 675 900 Width 900 1200",-,High Pedestrian Activity 40 - r4-237n sign design plan Published 15 Jun 2023 PDF 155.08 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-237n.gif?itok=wYh1S9c4,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-237n.pdf,Original PDFs/r4-237n.pdf,r4-237n-high-pedestrian-activity-40
